date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:13	588/588	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2023%20May%202020%2006:28:49%20GMT	https://caciitg.in/robots.txt		(from )
12:15:17	1124447/1124447	---MCZ	200	added ('OK')	text/html	etag:%2211285f-5a4e91b69c132-gzip%22	https://caciitg.in/projects/data_viz.html	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/caciitg.in/projects/data_viz.html	(from )
12:15:18	15209/15209	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4ace-3b69%22	https://cdnjs.cloudflare.com/ajax/libs/require.js/2.1.10/require.min.js	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/cdnjs.cloudflare.com/ajax/libs/require.js/2.1.10/require.min.js	(from https://caciitg.in/projects/data_viz.html)
12:15:18	83606/83606	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-14696%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.0.3/jquery.min.js	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/cdnjs.cloudflare.com/ajax/libs/jquery/2.0.3/jquery.min.js	(from https://caciitg.in/projects/data_viz.html)
12:15:18	50382/50382	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ace-c4ce%22	https://cdnjs.cloudflare.com/ajax/libs/reveal.js/3.5.0/css/reveal.css	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/cdnjs.cloudflare.com/ajax/libs/reveal.js/3.5.0/css/reveal.css	(from https://caciitg.in/projects/data_viz.html)
12:15:18	6626/6626	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4a89-19e2%22	https://cdnjs.cloudflare.com/ajax/libs/reveal.js/3.5.0/css/theme/simple.css	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/cdnjs.cloudflare.com/ajax/libs/reveal.js/3.5.0/css/theme/simple.css	(from https://caciitg.in/projects/data_viz.html)
12:15:19	3325/3325	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ace-cfd%22	https://cdnjs.cloudflare.com/ajax/libs/reveal.js/3.5.0/css/print/pdf.css	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/cdnjs.cloudflare.com/ajax/libs/reveal.js/3.5.0/css/print/pdf.css	(from https://caciitg.in/projects/data_viz.html)
12:15:19	63048/63048	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd49df-f648%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.1/MathJax.js?config=TeX-AMS_HTML	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.1/MathJax7b8b.js	(from https://caciitg.in/projects/data_viz.html)
12:15:20	37414/37414	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://caciitg.in/projects/data_viz.html)
12:15:20	1166/1166	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2023%20May%202020%2006:28:56%20GMT	https://caciitg.in/projects/custom.css	C:/Users/Raghav%20Jindal/Desktop/Data%20Visualization/caciitg.in/projects/custom.8.delayed	(from https://caciitg.in/projects/data_viz.html)
