Id,Attrition
1,0.00000
2,0.46031
3,0.11827
4,0.00000
5,0.00000
6,0.01654
7,0.30699
8,0.00001
9,0.00060
10,0.00001
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00458
17,0.96007
18,0.00235
19,0.00000
20,0.00008
21,0.00583
22,0.98565
23,0.00680
24,0.00000
25,0.00000
26,0.00002
27,0.00008
28,0.00000
29,0.99651
30,0.29234
31,0.00000
32,0.00000
33,0.01135
34,0.00001
35,0.00000
36,0.00000
37,0.00000
38,0.00002
39,0.34337
40,0.88682
41,0.79446
42,0.82816
43,0.00000
44,0.00000
45,0.00092
46,0.00000
47,0.00000
48,0.00002
49,0.00000
50,0.98417
51,0.89082
52,0.00000
53,0.00004
54,0.00031
55,0.00008
56,0.03286
57,0.02151
58,0.00016
59,0.00000
60,0.00905
61,0.00000
62,0.00000
63,0.35350
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00024
70,0.00164
71,0.00016
72,0.00018
73,0.00216
74,0.00000
75,0.00244
76,0.00378
77,0.00007
78,0.00013
79,0.00068
80,0.98764
81,0.00000
82,0.42334
83,0.00000
84,0.00000
85,0.00211
86,0.00000
87,0.00000
88,0.16363
89,0.00000
90,0.22972
91,0.99509
92,0.00000
93,0.87925
94,0.00000
95,0.58137
96,0.99573
97,0.00046
98,0.00000
99,0.00000
100,0.04035
101,0.18793
102,0.00000
103,0.00000
104,0.00002
105,0.00899
106,0.04402
107,0.00000
108,0.00045
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.25655
114,0.00003
115,0.00000
116,0.00000
117,0.00002
118,0.00000
119,0.00026
120,0.00000
121,0.01899
122,0.00000
123,0.00000
124,0.95474
125,0.99671
126,0.00000
127,0.00000
128,0.99046
129,0.98066
130,0.00002
131,0.00001
132,0.00000
133,0.00967
134,0.69200
135,0.00000
136,0.33650
137,0.99902
138,0.00000
139,0.74839
140,0.00000
141,0.75093
142,0.00000
143,0.00002
144,0.00000
145,0.00000
146,0.99529
147,0.00000
148,0.01290
149,0.36840
150,0.98366
151,0.95426
152,0.99180
153,0.00000
154,0.90764
155,0.00000
156,0.00025
157,0.00000
158,0.00509
159,0.00003
160,0.00257
161,0.99405
162,0.00000
163,0.00000
164,0.00000
165,0.00004
166,0.00012
167,0.37635
168,0.80077
169,0.00000
170,0.00000
171,0.00003
172,0.00000
173,0.00001
174,0.12077
175,0.00000
176,0.00000
177,0.00000
178,0.92667
179,0.03101
180,0.20905
181,0.94935
182,0.00000
183,0.99840
184,0.00000
185,0.99491
186,0.00000
187,0.00002
188,0.00000
189,0.00000
190,0.00000
191,0.00000
192,0.00000
193,0.00000
194,0.56903
195,0.96926
196,0.99832
197,0.00006
198,0.00000
199,0.00022
200,0.00001
201,0.00084
202,0.93435
203,0.99452
204,0.00032
205,0.00229
206,0.00001
207,0.94009
208,0.00026
209,0.00000
210,0.03133
211,0.98988
212,0.00001
213,0.00000
214,0.15815
215,0.00038
216,0.99653
217,0.87737
218,0.00000
219,0.00774
220,0.00000
221,0.36659
222,0.00024
223,0.22183
224,0.00001
225,0.00049
226,0.00000
227,0.99034
228,0.00000
229,0.00000
230,0.00000
231,0.93227
232,0.93908
233,0.37601
234,0.00746
235,0.00000
236,0.99439
237,0.00000
238,0.00002
239,0.89613
240,0.02692
241,0.00000
242,0.00000
243,0.00172
244,0.01956
245,0.00000
246,0.00000
247,0.66344
248,0.00008
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00027
254,0.00000
255,0.00001
256,0.99864
257,0.00527
258,0.01151
259,0.97696
260,0.00000
261,0.00000
262,0.00000
263,0.19157
264,0.90790
265,0.53311
266,0.00085
267,0.00000
268,0.00000
269,0.94017
270,0.00001
271,0.00085
272,0.91762
273,0.99972
274,0.00001
275,0.57637
276,0.00004
277,0.00000
278,0.00993
279,0.00000
280,0.00000
281,0.00000
282,0.00413
283,0.00022
284,0.00031
285,0.00408
286,0.99242
287,0.00000
288,0.01385
289,0.00000
290,0.00002
291,0.94633
292,0.01696
293,0.00000
294,0.00000
295,0.00000
296,0.00005
297,0.00000
298,0.00000
299,0.00047
300,0.00000
301,0.00000
302,0.15838
303,0.00000
304,0.99380
305,0.00000
306,0.00000
307,0.86221
308,0.05058
309,0.00000
310,0.00000
311,0.00004
312,0.99332
313,0.00071
314,0.89645
315,0.01702
316,0.23900
317,0.86346
318,0.13343
319,0.00008
320,0.01910
321,0.00000
322,0.39983
323,0.00000
324,0.00000
325,0.01711
326,0.94836
327,0.99718
328,0.98882
329,0.00000
330,0.00000
331,0.00000
332,0.75187
333,0.00007
334,0.00000
335,0.00632
336,0.00000
337,0.00000
338,0.00000
339,0.95141
340,0.99059
341,0.14083
342,0.75395
343,0.00000
344,0.98642
345,0.00000
346,0.00002
347,0.00646
348,0.98995
349,0.00000
350,0.00001
351,0.00000
352,0.02244
353,0.75579
354,0.00085
355,0.00000
356,0.99910
357,0.99583
358,0.28924
359,0.00000
360,0.00001
361,0.14577
362,0.00000
363,0.00000
364,0.00057
365,0.96802
366,0.00000
367,0.00000
368,0.00381
369,0.00000
370,0.95620
371,0.00029
372,0.00000
373,0.00000
374,0.96188
375,0.03576
376,0.00000
377,0.00117
378,0.00070
379,0.14495
380,0.00000
381,0.00001
382,0.00000
383,0.00000
384,0.00000
385,0.99211
386,0.50168
387,0.97826
388,0.99494
389,0.00000
390,0.00078
391,0.00000
392,0.00000
393,0.00000
394,0.00000
395,0.00000
396,0.00000
397,0.00010
398,0.00000
399,0.00003
400,0.84840
401,0.00000
402,0.00000
403,0.00005
404,0.00000
405,0.11729
406,0.00000
407,0.00001
408,0.00005
409,0.00055
410,0.00005
411,0.00000
412,0.00000
413,0.00000
414,0.00000
415,0.93833
416,0.00000
417,0.99086
418,0.00053
419,0.00000
420,0.00003
421,0.05905
422,0.90917
423,0.00000
424,0.01436
425,0.00000
426,0.00000
427,0.00012
428,0.00005
429,0.40508
430,0.00003
431,0.00000
432,0.33984
433,0.00000
434,0.00002
435,0.00000
436,0.00000
437,0.03760
438,0.00000
439,0.01174
440,0.00000
441,0.77505
442,0.02634
443,0.00030
444,0.00000
445,0.00809
446,0.00000
447,0.00000
448,0.00054
449,0.00000
450,0.00001
451,0.00000
452,0.00000
453,0.99993
454,0.00002
455,0.00199
456,0.00000
457,0.99280
458,0.98224
459,0.99598
460,0.00004
461,0.00000
462,0.00000
463,0.97729
464,0.17792
465,0.08326
466,0.01043
467,0.99967
468,0.14429
469,0.24559
470,0.02182
