Id,Attrition
1,0.00013
2,0.00025
3,0.95251
4,0.00001
5,0.00000
6,0.00000
7,0.17578
8,0.02506
9,0.00085
10,0.00467
11,0.00000
12,0.04136
13,0.00002
14,0.00005
15,0.00001
16,0.00085
17,0.96712
18,0.87148
19,0.00000
20,0.00000
21,0.00000
22,0.99059
23,0.00001
24,0.00811
25,0.00000
26,0.00014
27,0.00000
28,0.00004
29,0.99945
30,0.35976
31,0.00000
32,0.00013
33,0.03127
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00092
39,0.01250
40,0.25165
41,0.98977
42,0.73644
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00048
48,0.13037
49,0.00000
50,0.65124
51,0.03255
52,0.00222
53,0.00142
54,0.39231
55,0.00965
56,0.30315
57,0.00011
58,0.00038
59,0.00000
60,0.00000
61,0.00000
62,0.04054
63,0.18084
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00785
70,0.04004
71,0.00034
72,0.00054
73,0.74681
74,0.00000
75,0.00002
76,0.88228
77,0.00008
78,0.00203
79,0.00043
80,0.95240
81,0.00000
82,0.70507
83,0.00002
84,0.00000
85,0.98841
86,0.00000
87,0.00015
88,0.00004
89,0.05495
90,0.00448
91,0.99072
92,0.00000
93,0.82265
94,0.00003
95,0.95703
96,0.16875
97,0.01853
98,0.00000
99,0.00007
100,0.00012
101,0.03386
102,0.00000
103,0.07433
104,0.00000
105,0.00039
106,0.32962
107,0.00000
108,0.00005
109,0.00702
110,0.00000
111,0.01035
112,0.00000
113,0.01257
114,0.00110
115,0.00001
116,0.00000
117,0.00000
118,0.00000
119,0.00003
120,0.02772
121,0.95408
122,0.91243
123,0.00000
124,0.98425
125,0.99853
126,0.00000
127,0.00019
128,0.66129
129,0.99529
130,0.00000
131,0.03163
132,0.00000
133,0.00015
134,0.59341
135,0.00000
136,0.00041
137,0.99827
138,0.00005
139,0.00701
140,0.00000
141,0.33903
142,0.00000
143,0.00004
144,0.00000
145,0.21810
146,0.99163
147,0.00020
148,0.36073
149,0.06462
150,0.89404
151,0.21837
152,0.28817
153,0.00000
154,0.94047
155,0.00000
156,0.00243
157,0.00000
158,0.00123
159,0.00000
160,0.00000
161,0.48063
162,0.05001
163,0.00000
164,0.00000
165,0.00035
166,0.90508
167,0.00321
168,0.00153
169,0.00000
170,0.00000
